content,contentlink,actor,grade,peoplenum,instruct,picture
爱·回家 / 집으로... / 外婆的家  /  回家路上,['https://movie.douban.com/subject/1299361/'],导演:李廷香Jeong-hyangLee   主演:金艺芬Eul-boonKim/俞承豪Seung-...2002 / 韩国 / 剧情儿童家庭,['9.1'],['39041人评价'],['献给所有外婆的电影。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2107418134.jpg']
东京物语 / 東京物語 / 东京故事  /  Tokyo Story,['https://movie.douban.com/subject/1291568/'],导演:小津安二郎YasujirôOzu   主演:笠智众ChishûRyû/原节...1953 / 日本 / 剧情家庭,['9.1'],['37411人评价'],['东京那么大，如果有一天走失了，恐怕一辈子不能再相见。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1910832390.jpg']
"黄金三镖客 / Il buono, il brutto, il cattivo. / 好·坏·丑  /  独行侠决斗地狱门(港)",['https://movie.douban.com/subject/1401118/'],导演:SergioLeone   主演:ClintEastwood/EliWallach/LeeVanCleef1966 / 意大利西班牙西德 / 冒险西部,['9.1'],['39627人评价'],['最棒的西部片。'],['https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p2101693489.jpg']
搏击俱乐部 / Fight Club / 搏击会(港)  /  斗阵俱乐部(台),['https://movie.douban.com/subject/1292000/'],导演:大卫·芬奇DavidFincher   主演:爱德华·诺顿EdwardNorton/布拉...1999 / 美国德国 / 剧情动作悬疑惊悚,['9.0'],['361608人评价'],['邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。'],['https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1910926158.jpg']
楚门的世界 / The Truman Show / 真人Show(港)  /  真人戏,['https://movie.douban.com/subject/1292064/'],导演:彼得·威尔PeterWeir   主演:金·凯瑞JimCarrey/劳拉·琳妮Lau...1998 / 美国 / 剧情,['9.0'],['366874人评价'],['如果再也不能见到你，祝你早安，午安，晚安。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p479682972.jpg']
天空之城 / 天空の城ラピュタ / Tenkû no shiro Rapyuta  /  Laputa: Castle in the Sky,['https://movie.douban.com/subject/1291583/'],导演:宫崎骏HayaoMiyazaki   主演:田中真弓MayumiTanaka/鹫尾真知子...1986 / 日本 / 动画奇幻冒险,['9.0'],['279708人评价'],['对天空的追逐，永不停止。 '],['https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1446261379.jpg']
"两杆大烟枪 / Lock, Stock and Two Smoking Barrels / 够姜四小强(港)  /  两根枪管(台)",['https://movie.douban.com/subject/1293350/'],导演:GuyRitchie   主演:JasonFlemyng/DexterFletcher/NickMoran1998 / 英国 / 剧情喜剧犯罪,['9.0'],['238017人评价'],['4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。'],['https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p792443418.jpg']
飞越疯人院 / One Flew Over the Cuckoo's Nest / 飞越杜鹃窝  /  飞越喜鹊巢,['https://movie.douban.com/subject/1292224/'],导演:米洛斯·福尔曼MilošForman   主演:杰克·尼科尔森JackNichols...1975 / 美国 / 剧情,['9.0'],['238564人评价'],['自由万岁。'],['https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p792238287.jpg']
少年派的奇幻漂流 / Life of Pi / 少年Pi的奇幻漂流  /  漂流少年Pi,['https://movie.douban.com/subject/1929463/'],导演:李安AngLee   主演:苏拉·沙玛SurajSharma/拉菲·斯波RafeSpa...2012 / 美国台湾英国加拿大 / 剧情奇幻冒险,['9.0'],['502962人评价'],['瑰丽壮观、无人能及的冒险之旅。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1784592701.jpg']
蝙蝠侠：黑暗骑士 / The Dark Knight / 蝙蝠侠前传2：黑暗骑士  /  黑暗骑士(台),['https://movie.douban.com/subject/1851857/'],导演:克里斯托弗·诺兰ChristopherNolan   主演:克里斯蒂安·贝尔Christ...2008 / 美国英国 / 剧情动作科幻犯罪惊悚,['9.0'],['265054人评价'],['无尽的黑暗。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p462657443.jpg']
活着 / 人生  /  Lifetimes,['https://movie.douban.com/subject/1292365/'],导演:张艺谋YimouZhang   主演:葛优YouGe/巩俐LiGong/姜武WuJiang1994 / 中国大陆香港 / 剧情家庭,['9.0'],['211789人评价'],['张艺谋最好的电影。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2173575484.jpg']
钢琴家 / The Pianist / 战地琴人  /  钢琴战曲,['https://movie.douban.com/subject/1296736/'],导演:罗曼·波兰斯基RomanPolanski   主演:艾德里安·布洛迪AdrienBrod...2002 / 法国德国英国波兰 / 剧情传记历史战争,['9.0'],['172049人评价'],['音乐能化解仇恨。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p792484461.jpg']
素媛 / 소원 / 许愿  /  希望：为爱重生(台),['https://movie.douban.com/subject/21937452/'],导演:李濬益Jun-ikLee   主演:薛景求Kyung-guSol/严志媛Ji-wonUhm...2013 / 韩国 / 剧情家庭,['9.0'],['123722人评价'],['受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2118532944.jpg']
海洋 / Océans / Oceans  /  海洋,['https://movie.douban.com/subject/3443389/'],导演:雅克·贝汉JacquesPerrin/雅克·克鲁奥德JacquesCluzaud   主演:...2009 / 法国瑞士西班牙美国阿联酋 / 纪录片,['9.0'],['88709人评价'],['大海啊，不全是水。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p497010372.jpg']
狩猎 / Jagten / 谎言的烙印(台)  /  诬网(港),['https://movie.douban.com/subject/6985810/'],导演:托马斯·温特伯格ThomasVinterberg   主演:麦斯·米科尔森MadsMik...2012 / 丹麦瑞典比利时 / 剧情,['9.0'],['88770人评价'],['人言可畏。'],['https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1546987967.jpg']
完美的世界 / A Perfect World / 强盗保镳,['https://movie.douban.com/subject/1300992/'],导演:克林特·伊斯特伍德ClintEastwood   主演:凯文·科斯特纳KevinCos...1993 / 美国 / 剧情犯罪,['9.0'],['64218人评价'],['坏人的好总是比好人的好来得更感人。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p792403691.jpg']
追随 / Following / 致命追踪  /  跟踪,['https://movie.douban.com/subject/1397546/'],导演:克里斯托弗·诺兰ChristopherNolan   主演:杰里米.西奥伯德Jeremy...1998 / 英国 / 犯罪悬疑惊悚,['9.0'],['61918人评价'],['诺兰的牛逼来源于内心散发出的恐惧。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2074443514.jpg']
忠犬八公物语 / ハチ公物語 / 八千公物语  /  阿八的故事,['https://movie.douban.com/subject/1959195/'],导演:SeijirôKôyama   主演:山本圭KeiYamamoto/井川比佐志Hisa...1987 / 日本 / 剧情,['9.0'],['41123人评价'],['养狗三日，便会对你终其一生。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1576418852.jpg']
我爱你 / 그대를 사랑합니다 / 爱你  /  Late Blossom,['https://movie.douban.com/subject/5908478/'],导演:秋昌民Chang-minChoo   主演:宋在河Jae-hoSong/李顺载Soon-jae...2011 / 韩国 / 剧情爱情,['9.0'],['42851人评价'],['你要相信，这世上真的有爱存在，不管在什么年纪 '],['https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1075591188.jpg']
当幸福来敲门 / The Pursuit of Happyness / 寻找快乐的故事(港)  /  追求快乐,['https://movie.douban.com/subject/1849031/'],导演:加布里尔·穆奇诺GabrieleMuccino   主演:威尔·史密斯WillSmith...2006 / 美国 / 剧情传记家庭,['8.9'],['462403人评价'],['平民励志片。 '],['https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1312700628.jpg']
